City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,274.41,79,100,1.34,US,1675822296
1,kanniyakumari,8.0833,77.5667,297.84,71,7,6.05,IN,1675823007
2,lavrentiya,65.5833,-171.0,247.43,92,97,1.24,RU,1675822687
3,yellowknife,62.456,-114.3525,253.46,84,75,3.09,CA,1675822520
4,caravelas,-17.7125,-39.2481,298.37,81,4,3.61,BR,1675822672
5,guerrero negro,27.9769,-114.0611,291.42,30,0,2.89,MX,1675822610
6,mataura,-46.1927,168.8643,285.64,65,73,4.79,NZ,1675822524
7,abalak,58.1286,68.5944,247.9,100,92,1.15,RU,1675823015
8,busselton,-33.65,115.3333,297.57,50,0,2.56,AU,1675822517
9,puerto ayora,-0.7393,-90.3518,299.57,93,52,2.68,EC,1675822580
10,comarapa,-17.9,-64.4833,286.09,95,97,0.73,BO,1675823019
11,shingu,33.7333,135.9833,287.22,40,7,2.05,JP,1675822722
12,truth or consequences,33.1284,-107.2528,277.28,65,100,6.69,US,1675822991
13,hilo,19.7297,-155.09,298.31,89,100,5.66,US,1675822368
14,esperance,-33.8667,121.9,294.58,66,88,4.91,AU,1675822648
15,myaundzha,63.0494,147.1858,240.45,95,98,0.79,RU,1675823025
16,nikolskoye,59.7035,30.7861,272.09,86,100,4.5,RU,1675822601
17,ilulissat,69.2167,-51.1,246.16,76,75,3.09,GL,1675822656
18,yantai,37.5333,121.4,275.28,57,72,4.74,CN,1675823028
19,bluff,-46.6,168.3333,285.82,61,62,11.74,NZ,1675822516
20,chuy,-33.6971,-53.4616,294.65,80,27,3.3,UY,1675822577
21,dikson,73.5069,80.5464,250.78,90,100,9.73,RU,1675822561
22,ushuaia,-54.8,-68.3,280.57,86,98,2.81,AR,1675822436
23,yumen,40.2833,97.2,270.73,53,21,5.06,CN,1675822816
24,venice,27.0998,-82.4543,294.25,75,40,4.12,US,1675823033
25,vaini,-21.2,-175.2,302.24,79,75,3.09,TO,1675822532
26,airai,-8.9266,125.4092,294.28,78,77,1.4,TL,1675822276
27,pisco,-13.7,-76.2167,297.18,83,0,5.14,PE,1675822560
28,christchurch,-43.5333,172.6333,296.16,53,10,6.17,NZ,1675823037
29,jamestown,42.097,-79.2353,278.16,90,100,6.17,US,1675822353
30,seydi,39.4816,62.9137,280.94,60,100,4.25,TM,1675823039
31,aksay,47.26,39.87,268.29,78,92,6.71,RU,1675823040
32,rikitea,-23.1203,-134.9692,299.8,68,10,4.45,PF,1675822539
33,belaya gora,68.5333,146.4167,232.1,98,72,1.3,RU,1675822619
34,namibe,-15.1961,12.1522,294.27,75,95,2.09,AO,1675822558
35,new norfolk,-42.7826,147.0587,289.77,33,6,1.45,AU,1675822547
36,port alfred,-33.5906,26.891,293.81,89,100,1.79,ZA,1675822591
37,port elizabeth,-33.918,25.5701,293.32,91,20,3.09,ZA,1675822556
38,qaanaaq,77.484,-69.3632,241.37,67,4,2.79,GL,1675822524
39,zhezkazgan,47.8043,67.7144,257.14,85,100,3.0,KZ,1675823051
40,cidreira,-30.1811,-50.2056,297.35,80,15,6.42,BR,1675822614
41,verkhoyansk,67.5447,133.385,227.23,97,72,0.29,RU,1675822959
42,barrow,71.2906,-156.7887,256.16,78,100,2.57,US,1675822599
43,butaritari,3.0707,172.7902,300.34,81,100,9.8,KI,1675822642
44,whitehorse,60.7161,-135.0538,268.58,68,20,7.2,CA,1675822548
45,punta arenas,-53.15,-70.9167,284.21,82,0,2.06,CL,1675822419
46,mutare,-18.9707,32.6709,289.71,94,92,0.83,ZW,1675823060
47,boyolangu,-8.1181,111.8935,297.6,88,100,2.6,ID,1675823062
48,buchanan,5.8808,-10.0467,298.41,91,100,2.38,LR,1675822725
49,hermanus,-34.4187,19.2345,292.48,83,0,5.29,ZA,1675822556
50,paamiut,61.994,-49.6678,254.26,86,76,5.14,GL,1675822732
51,hobyo,5.3505,48.5268,298.21,69,97,6.88,SO,1675822863
52,berlevag,70.8578,29.0864,275.15,80,20,10.29,NO,1675822766
53,kushima,31.4583,131.2333,288.3,74,76,0.82,JP,1675823070
54,tuktoyaktuk,69.4541,-133.0374,242.15,76,100,1.54,CA,1675822579
55,vlasim,49.7063,14.8988,267.92,88,10,1.42,CZ,1675823072
56,cape town,-33.9258,18.4232,294.38,73,20,8.05,ZA,1675822547
57,jibuti,11.5,42.5,292.57,84,14,3.74,DJ,1675823075
58,komsomolskiy,40.4272,71.7189,273.55,74,99,3.09,UZ,1675822545
59,auras,26.9167,80.5167,285.12,61,0,3.41,IN,1675823078
60,hami,42.8,93.45,274.25,62,100,0.99,CN,1675822618
61,berezayka,57.9883,33.9036,268.75,88,100,4.5,RU,1675823081
62,faanui,-16.4833,-151.75,300.43,73,24,5.43,PF,1675822554
63,meulaboh,4.1363,96.1285,299.15,76,89,0.97,ID,1675822623
64,victoria,22.2855,114.1577,292.25,85,97,6.71,HK,1675822531
65,kahului,20.8947,-156.47,299.24,74,40,10.29,US,1675822588
66,saint-philippe,-21.3585,55.7679,297.92,83,90,6.32,RE,1675822515
67,tomatlan,19.9333,-105.25,292.36,79,0,0.3,MX,1675822726
68,belogorsk,50.9158,128.4611,247.79,88,35,1.51,RU,1675823088
69,cabedelo,-6.9811,-34.8339,297.52,73,99,3.95,BR,1675823089
70,salalah,17.0151,54.0924,293.2,52,0,3.09,OM,1675822598
71,kapaa,22.0752,-159.319,299.33,86,75,7.2,US,1675822527
72,pietermaritzburg,-29.6168,30.3928,292.21,98,100,0.95,ZA,1675823092
73,uruzgan,32.8333,66.0,276.03,82,100,2.89,AF,1675823094
74,katsuura,35.1333,140.3,284.16,71,98,8.08,JP,1675822612
75,sahuaripa,29.05,-109.2333,285.79,21,0,0.52,MX,1675823096
76,severo-kurilsk,50.6789,156.125,269.16,54,12,4.27,RU,1675822658
77,kodiak,57.79,-152.4072,270.88,50,0,7.2,US,1675822632
78,sao joao da barra,-21.6403,-41.0511,296.86,92,100,2.41,BR,1675822300
79,itarema,-2.9248,-39.9167,298.62,82,100,3.94,BR,1675822543
80,hamilton,39.1834,-84.5333,284.95,91,100,3.6,US,1675822360
81,fortuna,40.5982,-124.1573,284.63,82,40,3.6,US,1675823102
82,atuona,-9.8,-139.0333,299.42,74,28,7.37,PF,1675822531
83,mahur,25.1667,93.1167,289.02,49,90,0.58,IN,1675823105
84,avarua,-21.2078,-159.775,302.18,79,28,5.14,CK,1675822570
85,saint-georges,12.0564,-61.7485,297.8,83,96,5.95,GD,1675822813
86,carnarvon,-24.8667,113.6333,301.95,52,0,7.04,AU,1675822553
87,mahibadhoo,3.7833,72.9667,300.1,67,66,2.51,MV,1675823110
88,tokur,53.1333,132.9,243.92,93,100,0.51,RU,1675822922
89,hobart,-42.8794,147.3294,290.52,68,75,6.69,AU,1675822378
90,port hardy,50.6996,-127.4199,277.25,93,75,2.57,CA,1675822544
91,kisangani,0.5167,25.2,297.44,59,100,1.5,CD,1675823116
92,arraial do cabo,-22.9661,-42.0278,297.13,91,100,1.96,BR,1675822556
93,hithadhoo,-0.6,73.0833,300.45,72,13,3.58,MV,1675822334
94,talnakh,69.4865,88.3972,248.82,98,100,3.39,RU,1675823121
95,dhidhdhoo,6.8833,73.1,299.86,72,44,3.29,MV,1675822872
96,bredasdorp,-34.5322,20.0403,291.69,79,11,3.16,ZA,1675822395
97,tuatapere,-46.1333,167.6833,286.63,58,67,6.89,NZ,1675822623
98,lima,-12.0432,-77.0282,298.65,76,0,5.66,PE,1675823048
